Symbol,Name,Sector
MMM,3M Company,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Information Technology
AYI,Acuity Brands,Industrials
ADBE,Adobe Systems,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AES,AES Corp,Utilities
AET,Aetna,Health Care
AMG,Affiliated Managers Group,Financials
AFL,AFLAC,Financials
A,Agilent Technologies,Health Care
APD,Air Products & Chemicals,Materials
AKAM,Akamai Technologies,Information Technology
ALK,Alaska Air Group,Industrials
ALB,Albemarle Corp,Materials
AA,Alcoa,Materials
ALXN,Alexion Pharmaceuticals,Health Care
ALLE,Allegion,Industrials
AGN,Allergan plc,Health Care
ADS,Alliance Data Systems,Information Technology
LNT,Alliant Energy Corp,Utilities
ALL,Allstate Corp,Financials
GOOGL,Alphabet Class A,Information Technology
GOOG,Google,Information Technology
MO,Altria Group,Consumer Staples
AMZN,Amazon.com,Consumer Discretionary
AEE,Ameren Corp,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,American International Group,Financials
AMT,American Tower Corp A,Financials
AWK,American Water Works Company,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,Health Care
AME,Ametek,Industrials
AMGN,Amgen,Health Care
APH,Amphenol Corp A,Industrials
APC,Anadarko Petroleum Corp,Energy
ADI,Analog Devices,Information Technology
ANTM,Anthem Inc,Health Care
ANTM,"Anthem, Inc",Health Care
AON,Aon plc,Financials
APA,Apache Corporation,Energy
AIV,Apartment Investment & Mgmt,Financials
AAPL,Apple Inc,Information Technology
AMAT,Applied Materials Inc,Information Technology
ADM,Archer-Daniels-Midland Co,Consumer Staples
AJG,Arthur J Gallagher & Co,Financials
AIZ,Assurant,Financials
T,AT&T,Telecommunications Services
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Information Technology
AN,AutoNation,Consumer Discretionary
AZO,AutoZone,Consumer Discretionary
AVGO,Avago Technologies,Information Technology
AVB,AvalonBay Communities,Financials
AVY,Avery Dennison Corp,Materials
BHI,Baker Hughes,Energy
BLL,Ball Corp,Materials
BAC,Bank of America Corp,Financials
BCR,CR Bard Inc,Health Care
BAX,Baxter International,Health Care
BBT,BB&T Corporation,Financials
BDX,Becton Dickinson,Health Care
BBBY,Bed Bath & Beyond,Consumer Discretionary
BRK-B,Berkshire Hathaway,Financials
BBY,Best Buy,Consumer Discretionary
BIIB,BIOGEN IDEC,Health Care
BLK,BlackRock,Financials
HRB,Block H&R,Financials
BA,Boeing Company,Industrials
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Financials
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
BF-B,Brown-Forman Corporation,Consumer Staples
CHRW,C H Robinson Worldwide,Industrials
COG,Cabot Oil & Gas,Energy
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health,Health Care
KMX,Carmax,Consumer Discretionary
CCL,Carnival Corp,Consumer Discretionary
CAT,Caterpillar,Industrials
CBG,CBRE Group,Financials
CBS,CBS Corp,Consumer Discretionary
CELG,Celgene Corp,Health Care
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink,Telecommunications Services
CERN,Cerner,Health Care
CF,CF Industries Holdings,Materials
SCHW,Charles Schwab Corporation,Financials
CHK,Chesapeake Energy,Energy
CVX,Chevron Corp,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,CIGNA Corp,Health Care
XEC,Cimarex Energy,Energy
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco,Information Technology
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix Systems,Information Technology
CME,CME Group,Financials
CMS,CMS Energy,Utilities
COH,Coach Inc,Consumer Discretionary
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast A Corp,Consumer Discretionary
CMA,Comerica,Financials
CAG,ConAgra Foods,Consumer Staples
CXO,Concho Resources,Energy
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
GLW,Corning Inc,Industrials
COST,Costco,Consumer Staples
CCI,Crown Castle International Corp,Financials
CSRA,CSRA,Information Technology
CSX,CSX Corp,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Consumer Staples
DHI,DR Horton,Consumer Discretionary
DHR,Danaher Corp,Industrials
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita,Health Care
DE,Deere & Co,Industrials
DLPH,Delphi Automotive,Consumer Discretionary
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy Corp,Energy
DO,Diamond Offshore Drilling,Energy
DLR,Digital Realty Trust,Financials
DFS,Discover Financial Services,Financials
DISCA,Discovery Communications-A,Consumer Discretionary
DISCK,Discovery Communications-C,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Resources,Utilities
DOV,Dover Corp,Industrials
DOW,Dow Chemical,Materials
DPS,Dr Pepper Snapple Group,Consumer Staples
DTE,DTE Energy,Utilities
DD,Du Pont Co,Materials
DD,DuPont Co,Materials
DUK,Duke Energy,Utilities
DNB,Dun & Bradstreet,Industrials
EMN,Eastman Chemical,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay,Information Technology
ECL,Ecolab,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Information Technology
EMC,EMC Corp,Information Technology
EMR,Emerson Electric Company,Industrials
ENDP,Endo International,Health Care
ETR,Entergy Corp,Utilities
EOG,EOG Resources,Energy
EQT,EQT Corporation,Energy
EFX,Equifax,Financials
EQIX,Equinix,Information Technology
EQR,Equity Residential,Financials
ESS,Essex Property Trust,Financials
EL,Estee Lauder,Consumer Staples
ES,Eversource Energy,Utilities
EXC,Exelon Corp,Utilities
EXPE,Expedia,Consumer Discretionary
EXPD,Expeditors Int'l,Industrials
ESRX,Express Scripts,Health Care
EXR,Extra Space Storage,Financials
XOM,Exxon Mobil Corp,Energy
FFIV,F5 Networks,Information Technology
FB,Facebook,Information Technology
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Financials
FDX,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FSLR,First Solar,Information Technology
FE,FirstEnergy Corp,Utilities
FISV,Fiserv,Information Technology
FLIR,FLIR Systems,Industrials
FLS,Flowserve Corporation,Industrials
FLR,Fluor Corp,Industrials
FMC,FMC Corporation,Materials
FTI,FMC Technologies,Energy
FL,Foot Locker,Consumer Discretionary
F,Ford Motor,Consumer Discretionary
FTV,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Industrials
BEN,Franklin Resources,Financials
FCX,Freeport-McMoran Cp & Gld,Materials
FTR,Frontier Communications,Telecommunications Services
GPS,Gap (The),Consumer Discretionary
GRMN,Garmin,Consumer Discretionary
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GGP,General Growth Properties,Financials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments,Information Technology
GS,Goldman Sachs Group,Financials
GT,Goodyear Tire & Rubber,Consumer Discretionary
GWW,WW Grainger,Industrials
HAL,Halliburton,Energy
HBI,Hanesbrands,Consumer Discretionary
HOG,Harley-Davidson,Consumer Discretionary
HAR,Harman Int'l Industries,Consumer Discretionary
HRS,Harris Corporation,Information Technology
HIG,Hartford Financial,Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA Holdings,Health Care
HCP,HCP,Financials
HP,Helmerich & Payne,Energy
HSIC,Henry Schein,Health Care
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell Int'l,Industrials
HRL,Hormel Foods Corp,Consumer Staples
HST,Host Hotels & Resorts,Financials
HPQ,HP,Information Technology
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina,Health Care
IR,Ingersoll-Rand PLC,Industrials
INTC,Intel Corp,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,IBM,Information Technology
IP,International Paper,Materials
IPG,Interpublic Group,Consumer Discretionary
IFF,Intl Flavors & Fragrances,Materials
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
IVZ,Invesco Ltd,Financials
IRM,Iron Mountainorporated,Industrials
JBHT,JB Hunt Transport Services,Industrials
JEC,Jacobs Engineering Group,Industrials
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls,Consumer Discretionary
JPM,JPMorgan Chase,Financials
JPM,JPMorgan,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg,Consumer Staples
KEY,KeyCorp,Financials
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Financials
KMI,Kinder Morgan,Energy
KLAC,KLA-Tencor Corp,Information Technology
KSS,Kohl's Corp,Consumer Discretionary
KHC,Kraft Heinz Co,Consumer Staples
KR,Kroger,Consumer Staples
LB,L Brands,Consumer Discretionary
LLL,L-3 Communications Holdings,Industrials
LH,Laboratory Corp of America Holding,Health Care
LRCX,Lam Research,Information Technology
LM,Legg Mason,Financials
LEG,Leggett & Platt,Industrials
LEN,Lennar Corp,Consumer Discretionary
LUK,Leucadia National Corp,Financials
LVLT,Level 3 Communications,Telecommunications Services
LLY,Lilly Eli,Health Care
LLY,Eli Lilly ,Health Care
LNC,Lincoln National,Financials
LLTC,Linear Technology Corp,Information Technology
LKQ,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin Corp,Industrials
L,Loews Corp,Financials
LOW,Lowe's Cos,Consumer Discretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank Corp,Financials
MAC,Macerich,Financials
M,Macy's,Consumer Discretionary
MNK,Mallinckrodt Plc,Health Care
MRO,Marathon Oil Corp,Energy
MPC,Marathon Petroleum,Energy
MAR,Marriott Int'l,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco Corp,Industrials
MA,Mastercard,Information Technology
MAT,Mattel,Consumer Discretionary
MKC,McCormick & Co,Consumer Staples
MCD,McDonald's Corp,Consumer Discretionary
MCK,McKesson Corp,Health Care
MJN,Mead Johnson,Consumer Staples
MDT,Medtronic plc,Health Care
MRK,Merck & Co,Health Care
MET,MetLife,Financials
KORS,Michael Kors Holdings,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp,Information Technology
MHK,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Brewing Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MON,Monsanto,Materials
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MSI,Motorola Solutions,Information Technology
MUR,Murphy Oil,Energy
MYL,Mylan NV,Health Care
MYL,Mylan N V,Health Care
NDAQ,NASDAQ OMX Group,Financials
NOV,National Oilwell Varco,Energy
NAVI,Navient,Financials
NTAP,NetApp,Information Technology
NFLX,Netflix,Information Technology
NWL,Newell Rubbermaid,Consumer Discretionary
NFX,Newfield Exploration Co,Energy
NEM,Newmont Mining Corp,Materials
NWSA,News Corp Class A,Consumer Discretionary
NWS,News Corp Class B,Consumer Discretionary
NEE,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Industrials
NKE,Nike,Consumer Discretionary
NI,NiSource,Utilities
NBL,Noble Energy,Energy
JWN,Nordstrom,Consumer Discretionary
NSC,Norfolk Southern Corp,Industrials
NTRS,Northern Trust Corp,Financials
NOC,Northrop Grumman Corp,Industrials
NRG,NRG Energy,Utilities
NUE,Nucor Corp,Materials
NVDA,Nvidia Corporation,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
OMC,Omnicom Group,Consumer Discretionary
OKE,ONEOK,Energy
ORCL,Oracle Corp,Information Technology
OI,Owens-Illinois,Materials
PCAR,PACCAR,Industrials
PH,Parker-Hannifin,Industrials
PDCO,Patterson Companies,Health Care
PAYX,Paychex,Information Technology
PYPL,PayPal,Information Technology
PNR,Pentair Ltd,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer,Health Care
PCG,PG&E Corp,Utilities
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PBI,Pitney-Bowes,Industrials
PNC,PNC Financial Services,Financials
RL,Polo Ralph Lauren Corp,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corp,Utilities
PX,Praxair,Materials
PCLN,Priceline,Consumer Discretionary
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corp,Financials
PLD,Prologis,Financials
PRU,Prudential Financial,Financials
PEG,Public Service Enterprise,Utilities
PSA,Public Storage,Financials
PHM,Pulte Homes,Consumer Discretionary
PVH,PVH Corp,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM,Information Technology
PWR,Quanta Services,Industrials
DGX,Quest Diagnostics,Health Care
RRC,Range Resources Corp,Energy
RTN,Raytheon,Industrials
O,Realtyome Corporation,Financials
RHT,Red Hat,Information Technology
REGN,Regeneron,Health Care
RF,Regions Financial Corp,Financials
RSG,Republic Services,Industrials
RAI,Reynolds American,Consumer Staples
RHI,Robert Half International,Industrials
ROK,Rockwell Automation,Industrials
COL,Rockwell Collins,Industrials
ROP,Roper Industries,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
R,Ryder System,Industrials
SPGI,S&P Global,Financials
CRM,Salesforce,Information Technology
SCG,SCANA Corp,Utilities
SLB,Schlumberger Ltd,Energy
SNI,Scripps Networks Interactive,Consumer Discretionary
STX,Seagate Technology,Information Technology
SEE,Sealed Air Corp,Materials
SRE,Sempra Energy,Utilities
SHW,Sherwin-Williams,Materials
SIG,Signet Jewelers,Consumer Discretionary
SPG,Simon Property Group,Financials
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Financials
SJM,JM Smucker,Consumer Staples
SNA,Snap-On,Consumer Discretionary
SO,Southern Co,Utilities
LUV,Southwest Airlines,Industrials
SWN,Southwestern Energy,Energy
SE,Spectra Energy Corp,Energy
STJ,St Jude Medical,Health Care
SWK,Stanley Black & Decker,Consumer Discretionary
SPLS,"Staples, Inc",Consumer Discretionary
SPLS,Staples Inc,Consumer Discretionary
SBUX,Starbucks Corp,Consumer Discretionary
HOT,Starwood Hotels & Resorts,Consumer Discretionary
STT,State Street Corp,Financials
SRCL,Stericycle,Industrials
SYK,Stryker Corp,Health Care
STI,SunTrust Banks,Financials
SYMC,Symantec Corp,Information Technology
SYF,Synchrony Financial,Financials
SYY,Sysco Corp,Consumer Staples
TROW,T Rowe Price Group,Financials
TGT,Target Corp,Consumer Discretionary
TEL,TE Connectivity Ltd,Information Technology
TGNA,Tegna,Consumer Discretionary
TDC,Teradata Corp,Information Technology
TSO,Tesoro Petroleum,Energy
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
BK,The Bank of New York Mellon Corp,Financials
CLX,The Clorox Company,Consumer Staples
KO,The Coca Cola Company,Consumer Staples
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies,Financials
DIS,The Walt Disney Company,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co,Consumer Discretionary
TWX,Time Warner,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TMK,Torchmark Corp,Financials
TSS,Total System Services,Information Technology
TSCO,Tractor Supply Company,Consumer Discretionary
TDG,TransDigm Group,Industrials
RIG,Transocean,Energy
TRIP,TripAdvisor,Consumer Discretionary
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
FOX,Twenty-First Century Fox Class B,Consumer Discretionary
TYC,Tyco International,Industrials
TSN,Tyson Foods,Consumer Staples
USB,US Bancorp,Financials
UDR,UDR,Financials
ULTA,Ulta Salon Cosmetics & Fragrance,Consumer Discretionary
UA,Under Armour,Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Continental Holdings,Industrials
UNH,United Health Group,Health Care
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
UTX,United Technologies,Industrials
UHS,Universal Health Services,Health Care
UNM,Unum Group,Financials
URBN,Urban Outfitters,Consumer Discretionary
V,Visa Inc,Information Technology
VFC,VF Corp,Consumer Discretionary
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas,Financials
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,Telecommunications Services
VRTX,Vertex Pharmaceuticals,Health Care
VIAB,Viacom,Consumer Discretionary
VNO,Vornado Realty Trust,Financials
VMC,Vulcan Materials,Materials
WMT,Wal-Mart Stores,Consumer Staples
WBA,Walgreens Boots Alliance,Consumer Staples
WM,Waste Management,Industrials
WAT,Waters Corporation,Health Care
WFC,Wells Fargo,Financials
HCN,Welltower,Financials
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
WRK,Westrock Co,Materials
WY,Weyerhaeuser Corp,Financials
WHR,Whirlpool Corp,Consumer Discretionary
WFM,Whole Foods Market,Consumer Staples
WMB,Williams Cos,Energy
WLTW,Willis Towers Watson,Financials
WEC,Wisconsin Energy Corporation,Utilities
WYN,Wyndham Worldwide,Consumer Discretionary
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy,Utilities
XRX,Xerox Corp,Information Technology
XLNX,Xilinx,Information Technology
XL,XL Capital,Financials
XYL,Xylem,Industrials
YHOO,Yahoo,Information Technology
YUM,Yum! Brands,Consumer Discretionary
ZBH,Zimmer Biomet Holdings,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
